"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","Coração de Jesus","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/coracao-de-jesus-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Coração Eucarístico","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/coracao-eucaristico-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Cruzeiro","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/cruzeiro-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","das Industrias I","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/das-industrias-i-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Diamante","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/diamante-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Dom Bosco","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/dom-bosco-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Dom Cabral","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/dom-cabral-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Dom Silvério","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/dom-silverio-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Dona Clara","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/dona-clara-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Engenho Nogueira","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/engenho-nogueira-belo-horizonte-mg-brasil"
